customer id,purchase_value,purchase_freq,lifespan,customer_clv,first_order_date,second_order_date,datediff,first_order_sales,second_order_sales,log_clv,customer_clv,datediff,first_order_sales,second_order_sales
CL-12565,1.1415,0.005,0.2396,0.0014,2014.3.4,2014.7.12,130 ,354.9,134.4,,0.0014,130 ,354.9,134.4
MC-18100,0.5436,0.0038,0.372,0.0008,2014.6.18,2014.12.15,180 ,139.8,803.96,,0.0008,180 ,139.8,803.96
JF-15490,0.3471,0.0038,0.4426,0.0006,2014.10.19,2014.12.27,69 ,13.44,243.12,,0.0006,69 ,13.44,243.12
DP-13390,0.4192,0.0063,0.3897,0.001,2014.7.5,2014.9.8,65 ,180.96,75.64,,0.001,65 ,180.96,75.64
ML-17395,1.1412,0.005,0.3039,0.0017,2014.2.14,2014.5.26,101 ,560.55,576.23,,0.0017,101 ,560.55,576.23
NW-18400,2.7658,0.0038,0.4048,0.0043,2014.6.21,2014.11.26,158 ,385.26,1122.97,,0.0043,158 ,385.26,1122.97
MM-17920,0.6931,0.005,0.4565,0.0016,2014.1.13,2014.8.27,226 ,40.85,13.36,,0.0016,226 ,40.85,13.36
SC-20725,0.7016,0.0025,0.198,0.0003,2014.6.3,2014.11.7,157 ,515.88,725.33,,0.0003,157 ,515.88,725.33
CD-12790,0.0677,0.0025,0.4136,0.0001,2014.2.2,2014.12.27,328 ,12.35,107.35,,0.0001,328 ,12.35,107.35
ED-13885,0.0252,0.0025,0.1337,0,2014.8.9,2014.11.23,106 ,20.88,23.68,,0,106 ,20.88,23.68
BM-11785,0.3985,0.005,0.3619,0.0007,2014.6.6,2014.9.2,88 ,13.36,475.94,,0.0007,88 ,13.36,475.94
DA-13450,0.0261,0.0038,0.1942,0,2014.4.25,2014.9.10,138 ,16.61,9.64,,0,138 ,16.61,9.64
RM-19375,0.0386,0.0025,0.0517,0,2014.5.11,2014.6.21,41 ,46.86,21.4,,0,41 ,46.86,21.4
MY-18295,1.2369,0.0025,0.2648,0.0008,2014.4.28,2014.11.24,210 ,526.96,1661.03,,0.0008,210 ,526.96,1661.03
BF-10975,0.1417,0.0063,0.4502,0.0004,2014.7.14,2014.8.1,18 ,17.94,202.9,,0.0004,18 ,17.94,202.9
FM-14215,0.4506,0.0025,0.1185,0.0001,2014.3.11,2014.6.13,94 ,782.63,14.52,,0.0001,94 ,782.63,14.52
ME-18010,0.6816,0.0038,0.3834,0.001,2014.7.21,2014.12.23,155 ,1173.62,5.18,,0.001,155 ,1173.62,5.18
MP-17470,0.6846,0.0038,0.2926,0.0008,2014.3.30,2014.6.4,66 ,714.97,16.22,,0.0008,66 ,714.97,16.22
EH-14005,0.3224,0.0025,0.2623,0.0002,2014.5.13,2014.12.7,208 ,405.46,164.88,,0.0002,208 ,405.46,164.88
EH-13990,0.1603,0.0038,0.3947,0.0002,2014.1.15,2014.5.23,128 ,149.95,12.96,,0.0002,128 ,149.95,12.96
JD-16015,0.0883,0.0038,0.0895,0,2014.10.4,2014.10.6,2 ,29.24,83.92,,0,2 ,29.24,83.92
ND-18460,0.2236,0.0025,0.2837,0.0002,2014.2.6,2014.9.19,225 ,321.56,73.92,,0.0002,225 ,321.56,73.92
RW-19630,0.0471,0.0025,0.2346,0,2014.6.28,2014.12.31,186 ,6.08,77.21,,0,186 ,6.08,77.21
KB-16585,0.839,0.005,0.4288,0.0018,2014.4.4,2014.8.17,135 ,364.93,15.55,,0.0018,135 ,364.93,15.55
KT-16480,1.82,0.0038,0.0794,0.0005,2014.3.10,2014.5.8,59 ,719.58,1799.97,,0.0005,59 ,719.58,1799.97
BW-11200,0.5129,0.0025,0.0618,0.0001,2014.8.12,2014.9.30,49 ,891.78,15.55,,0.0001,49 ,891.78,15.55
HG-14965,0.0355,0.0038,0.4224,0.0001,2014.9.20,2014.9.26,6 ,8.56,0.88,,0.0001,6 ,8.56,0.88
RF-19345,0.195,0.005,0.261,0.0003,2014.5.20,2014.9.16,119 ,211.66,33.55,,0.0003,119 ,211.66,33.55
WB-21850,1.4524,0.005,0.3518,0.0026,2014.11.4,2014.12.12,38 ,1729.42,43.31,,0.0026,38 ,1729.42,43.31
RB-19435,0.8551,0.005,0.3266,0.0014,2014.3.11,2014.10.10,213 ,7.98,120.26,,0.0014,213 ,7.98,120.26
DB-13555,0.4793,0.0038,0.2182,0.0004,2014.4.21,2014.9.20,152 ,828.84,2.82,,0.0004,152 ,828.84,2.82
AA-10315,0.4274,0.0025,0.2119,0.0002,2014.3.31,2014.9.15,168 ,726.55,29.5,,0.0002,168 ,726.55,29.5
JM-16195,0.9718,0.0038,0.367,0.0014,2014.4.30,2014.9.2,125 ,1000.95,90.61,,0.0014,125 ,1000.95,90.61
JL-15505,0.0489,0.0025,0.0202,0,2014.11.14,2014.11.30,16 ,24.24,62.28,,0,16 ,24.24,62.28
JK-15625,0.8185,0.005,0.2409,0.001,2014.5.31,2014.6.29,29 ,773.7,13.92,,0.001,29 ,773.7,13.92
GM-14455,0.5288,0.0025,0.3329,0.0004,2014.4.11,2014.12.31,264 ,758.35,177.17,,0.0004,264 ,758.35,177.17
AS-10630,0.1555,0.0025,0.1614,0.0001,2014.8.1,2014.12.7,128 ,5.68,269.36,,0.0001,128 ,5.68,269.36
JA-15970,0.5423,0.0025,0.0706,0.0001,2014.9.17,2014.11.12,56 ,318.29,641.02,,0.0001,56 ,318.29,641.02
PP-18955,1.6946,0.0063,0.396,0.0042,2014.8.26,2014.9.8,13 ,158.61,176.28,,0.0042,13 ,158.61,176.28
AZ-10750,0.2216,0.0025,0.0101,0,2014.3.17,2014.3.25,8 ,25.18,366.79,,0,8 ,25.18,366.79
KD-16345,0.0921,0.0025,0.1286,0,2014.9.2,2014.12.13,102 ,72.69,90.24,,0,102 ,72.69,90.24
KL-16645,4.915,0.0025,0.0214,0.0003,2014.7.25,2014.8.11,17 ,8319.29,375.34,,0.0003,17 ,8319.29,375.34
NB-18580,0.1548,0.0025,0.0328,0,2014.9.26,2014.10.22,26 ,143.95,129.92,,0,26 ,143.95,129.92
RA-19885,1.2654,0.0025,0.2875,0.0009,2014.4.8,2014.11.22,228 ,1215.92,1022.61,,0.0009,228 ,1215.92,1022.61
KN-16450,1.0408,0.0025,0.3127,0.0008,2014.4.12,2014.12.16,248 ,1840.04,1.17,,0.0008,248 ,1840.04,1.17
MC-17590,0.7813,0.0025,0.2383,0.0005,2014.5.20,2014.11.25,189 ,108.44,1273.62,,0.0005,189 ,108.44,1273.62
MC-17635,0.0508,0.0025,0.0063,0,2014.11.28,2014.12.3,5 ,64.02,25.92,,0,5 ,64.02,25.92
SV-20785,0.4169,0.005,0.0883,0.0002,2014.4.12,2014.6.2,51 ,32.4,605.47,,0.0002,51 ,32.4,605.47
ON-18715,0.3998,0.0063,0.4212,0.0011,2014.9.13,2014.11.4,52 ,79.4,66.62,,0.0011,52 ,79.4,66.62
MS-17530,0.2028,0.0038,0.4565,0.0004,2014.11.4,2014.11.18,14 ,35.34,21.4,,0.0004,14 ,35.34,21.4
CS-11950,0.7437,0.0025,0.2055,0.0004,2014.6.8,2014.11.18,163 ,585.55,730.01,,0.0004,163 ,585.55,730.01
TM-21010,0.2713,0.0038,0.2119,0.0002,2014.2.21,2014.4.30,68 ,8.85,47.79,,0.0002,68 ,8.85,47.79
HF-14995,0.3825,0.0025,0.1488,0.0001,2014.5.26,2014.9.21,118 ,225.3,451.28,,0.0001,118 ,225.3,451.28
GA-14515,1.4812,0.0038,0.4212,0.0024,2014.5.18,2014.11.6,172 ,3.98,43.68,,0.0024,172 ,3.98,43.68
Dp-13240,0.2583,0.0025,0.174,0.0001,2014.5.26,2014.10.11,138 ,48.4,408.47,,0.0001,138 ,48.4,408.47
BM-11650,0.3409,0.0038,0.0958,0.0001,2014.7.9,2014.9.21,74 ,14.35,68.71,,0.0001,74 ,14.35,68.71
ND-18370,0.6477,0.0025,0.3682,0.0006,2014.1.13,2014.11.1,292 ,545.94,599.9,,0.0006,292 ,545.94,599.9
LS-16975,0.7331,0.005,0.454,0.0017,2014.10.20,2014.11.26,37 ,862.2,81.98,,0.0017,37 ,862.2,81.98
RB-19645,0.0383,0.0038,0.1148,0,2014.8.23,2014.8.24,1 ,49.57,8.29,,0,1 ,49.57,8.29
DM-12955,0.6384,0.005,0.4489,0.0014,2014.9.30,2014.12.9,70 ,795.41,100.7,,0.0014,70 ,795.41,100.7
KM-16375,2.4964,0.0038,0.4212,0.004,2014.7.20,2014.12.31,164 ,1340.98,2846.22,,0.004,164 ,1340.98,2846.22
BT-11530,0.1403,0.0025,0.2711,0.0001,2014.5.21,2014.12.22,215 ,31.84,216.4,,0.0001,215 ,31.84,216.4
KH-16510,0.6831,0.005,0.3871,0.0013,2014.8.15,2014.10.5,51 ,30.96,99.98,,0.0013,51 ,30.96,99.98
GH-14410,0.0914,0.0025,0.0315,0,2014.7.9,2014.8.3,25 ,68.7,93.02,,0,25 ,68.7,93.02
TC-20980,0.4003,0.0038,0.3997,0.0006,2014.11.7,2014.12.27,50 ,100.4,521.92,,0.0006,50 ,100.4,521.92
JL-15130,0.0275,0.0025,0.0567,0,2014.7.18,2014.9.1,45 ,13.9,34.75,,0,45 ,13.9,34.75
TB-21280,0.4531,0.0038,0.2055,0.0004,2014.6.21,2014.6.22,1 ,697.32,8.23,,0.0004,1 ,697.32,8.23
TT-21070,0.6198,0.005,0.4061,0.0013,2014.5.18,2014.9.8,113 ,165.17,254.97,,0.0013,113 ,165.17,254.97
RD-19900,0.9281,0.005,0.4426,0.0021,2014.4.5,2014.11.10,219 ,770.61,807.69,,0.0021,219 ,770.61,807.69
CM-11815,0.0397,0.0025,0.0593,0,2014.11.14,2014.12.31,47 ,20.74,49.57,,0,47 ,20.74,49.57
EH-14185,0.1292,0.0038,0.232,0.0001,2014.5.22,2014.10.25,156 ,180.93,40.78,,0.0001,156 ,180.93,40.78
AF-10885,0.2466,0.0025,0.1576,0.0001,2014.5.10,2014.9.12,125 ,372.28,63.92,,0.0001,125 ,372.28,63.92
SP-20620,0.3719,0.0038,0.1513,0.0002,2014.9.8,2014.12.30,113 ,16.78,609.61,,0.0002,113 ,16.78,609.61
TH-21100,1.263,0.0038,0.2497,0.0012,2014.9.27,2014.11.24,58 ,685.9,1537.54,,0.0012,58 ,685.9,1537.54
LC-17050,0.5088,0.0025,0.3468,0.0004,2014.1.31,2014.11.2,275 ,290.67,609.44,,0.0004,275 ,290.67,609.44
KN-16705,0.4245,0.0038,0.3203,0.0005,2014.3.2,2014.3.16,14 ,47.76,471.92,,0.0005,14 ,47.76,471.92
MH-17455,0.1731,0.0038,0.3392,0.0002,2014.7.11,2014.12.20,162 ,67.4,190.85,,0.0002,162 ,67.4,190.85
SJ-20500,0.1431,0.0025,0.0492,0,2014.8.31,2014.10.9,39 ,92.52,160.59,,0,39 ,92.52,160.59
SC-20020,1.5746,0.005,0.3178,0.0025,2014.3.3,2014.4.2,30 ,176.77,60.21,,0.0025,30 ,176.77,60.21
JL-15835,1.8411,0.0038,0.1942,0.0014,2014.4.18,2014.7.7,80 ,323.46,241.19,,0.0014,80 ,323.46,241.19
ST-20530,0.1831,0.005,0.401,0.0004,2014.2.14,2014.7.14,150 ,16.18,111.05,,0.0004,150 ,16.18,111.05
JC-15775,0.0943,0.0025,0.1236,0,2014.9.14,2014.12.21,98 ,149.56,17.28,,0,98 ,149.56,17.28
VF-21715,0.3808,0.0025,0.1841,0.0002,2014.3.1,2014.7.25,146 ,651.59,22,,0.0002,146 ,651.59,22
EJ-13720,0.2937,0.0025,0.4073,0.0003,2014.1.27,2014.12.16,323 ,426.67,92.86,,0.0003,323 ,426.67,92.86
JG-15805,0.1307,0.0038,0.2863,0.0001,2014.4.5,2014.10.7,185 ,101.73,107.44,,0.0001,185 ,101.73,107.44
KE-16420,0.347,0.0038,0.116,0.0002,2014.4.3,2014.6.8,66 ,233.45,170.35,,0.0002,66 ,233.45,170.35
TC-21295,1.3189,0.0025,0.0845,0.0003,2014.10.14,2014.12.20,67 ,1885.27,447.94,,0.0003,67 ,1885.27,447.94
NC-18415,0.0969,0.0038,0.4414,0.0002,2014.5.3,2014.12.27,238 ,51.07,4.98,,0.0002,238 ,51.07,4.98
GW-14605,0.425,0.0025,0.1866,0.0002,2014.3.1,2014.7.27,148 ,513.86,238,,0.0002,148 ,513.86,238
DW-13195,0.2419,0.0038,0.2686,0.0002,2014.1.18,2014.7.5,168 ,64.86,4.37,,0.0002,168 ,64.86,4.37
MS-17710,0.3529,0.0038,0.4502,0.0006,2014.3.24,2014.4.4,11 ,40.48,84.83,,0.0006,11 ,40.48,84.83
DM-13345,0.0799,0.0038,0.2068,0.0001,2014.11.3,2014.11.12,9 ,5.76,7.87,,0.0001,9 ,5.76,7.87
TH-21235,0.0638,0.0025,0.0618,0,2014.11.4,2014.12.23,49 ,2.94,109.84,,0,49 ,2.94,109.84
AA-10645,0.7849,0.0025,0.2043,0.0004,2014.6.22,2014.12.1,162 ,1106.77,281.72,,0.0004,162 ,1106.77,281.72
SM-20950,2.3377,0.0063,0.4199,0.0062,2014.9.29,2014.11.1,33 ,2358.67,15.7,,0.0062,33 ,2358.67,15.7
LH-16900,0.6474,0.005,0.1009,0.0003,2014.8.19,2014.9.1,13 ,638.82,380.74,,0.0003,13 ,638.82,380.74
RS-19765,1.1386,0.0025,0.3064,0.0009,2014.4.7,2014.12.6,243 ,752.92,1261.33,,0.0009,243 ,752.92,1261.33
SR-20740,0.2436,0.005,0.4023,0.0005,2014.2.20,2014.11.5,258 ,12.96,47.79,,0.0005,258 ,12.96,47.79
MA-17560,1.0455,0.0038,0.1198,0.0005,2014.8.8,2014.9.21,44 ,1109.73,32.16,,0.0005,44 ,1109.73,32.16
MA-17995,0.2566,0.0025,0.029,0,2014.9.20,2014.10.13,23 ,64.15,389.74,,0,23 ,64.15,389.74
BS-11365,0.7359,0.0038,0.174,0.0005,2014.5.4,2014.8.19,107 ,69.86,344.91,,0.0005,107 ,69.86,344.91
DE-13255,0.0486,0.0038,0.3014,0.0001,2014.8.22,2014.11.5,75 ,3.91,20.04,,0.0001,75 ,3.91,20.04
MW-18220,2.8854,0.005,0.396,0.0057,2014.8.25,2014.9.20,26 ,1007.94,3519.37,,0.0057,26 ,1007.94,3519.37
GR-14560,0.726,0.0025,0.0025,0,2014.11.19,2014.11.21,2 ,1271.42,12.96,,0,2 ,1271.42,12.96
RD-19720,0.1416,0.0038,0.1324,0.0001,2014.7.20,2014.8.9,20 ,112.54,13.81,,0.0001,20 ,112.54,13.81
GK-14620,0.521,0.0038,0.4477,0.0009,2014.6.25,2014.7.13,18 ,344.92,351.22,,0.0009,18 ,344.92,351.22
SG-20470,0.4449,0.0063,0.4262,0.0012,2014.7.26,2014.11.28,125 ,256.48,183.61,,0.0012,125 ,256.48,183.61
EB-13870,0.2609,0.0025,0.2358,0.0002,2014.5.5,2014.11.8,187 ,127.87,333.58,,0.0002,187 ,127.87,333.58
SE-20110,0.153,0.0038,0.2875,0.0002,2014.4.11,2014.9.22,164 ,9.58,210.13,,0.0002,164 ,9.58,210.13
KH-16330,0.58,0.0038,0.2938,0.0006,2014.4.1,2014.5.5,34 ,73.2,45.25,,0.0006,34 ,73.2,45.25
